customer_id,customer_count
11160821,1
1099354,1
37200466,1
31581262,1
27596904,1
2405598,1
11229098,1
17237226,1
46000147,1
15234640,1
28937218,1
43920023,1
27954895,1
8269764,1
31689770,1
30117841,1
38591899,1
24557051,1
2780908,1
32466409,1
11096259,1
2416824,1
33939357,1
501949,1
15676483,1
21635400,1
16800802,1
41723797,1
12539828,1
34994194,1
20333357,1
665670,1
42794286,1
12078967,1
45271188,1
34089859,1
20282525,1
308619,1
38943551,1
26560681,1
23399895,1
46424876,1
6649949,1
15502634,1
32918101,1
49414386,1
28668412,1
287536,1
42574126,1
51571609,1
35386811,1
34997666,1
15056685,1
12397178,1
50328183,1
26742748,1
28504597,1
2636042,1
43696982,1
50379230,1
16798330,1
25422647,1
15206852,1
11419876,1
16013492,1
49667311,1
8332745,1
43069198,1
4874216,1
44883814,1
19015740,1
518254,1
28425858,1
36074614,1
32976373,1
38382332,1
41558699,1
52851678,1
37293525,1
16262901,1
42298239,1
34128014,1
2994656,1
985057,1
7640508,1
10560666,1
37689844,1
6398043,1
10128776,1
5724002,1
26904397,1
22763607,1
33266873,1
29627609,1
28945174,1
1875889,1
15012529,2
50131798,1
44966373,1
18479158,1
49117361,1
13642986,1
35811862,1
29731719,1
51419089,1
32672480,1
31670940,1
25334037,1
14482666,1
38980565,1
14230519,1
24313755,1
42260446,1
11958500,1
10806116,1
2860609,1
48605482,1
14645754,1
3711633,1
39055029,1
2597348,1
14592219,1
22548286,1
7736763,1
3441991,1
45892018,1
2667153,1
45341,1
11391236,1
41205956,1
30280195,1
40670200,1
5413600,1
52456598,1
1376376,1
18211692,1
49350049,1
16114003,1
50176072,1
10193987,1
43097873,1
18717946,1
34058646,1
44087237,1
22544081,1
34000536,1
7976886,1
15960664,1
25699607,1
48626509,1
45758251,1
18540037,1
52373222,1
14847189,2
33375,1
52272248,1
34075575,1
41448176,1
20223921,1
39665853,1
12940528,1
15248590,1
44111464,1
36539238,1
11693424,1
52940407,1
24803411,1
14819269,1
45401821,1
30846768,1
39435052,1
7741495,1
51854558,1
42671358,1
26816741,1
19989605,1
32150085,1
10302700,1
36141744,1
10044780,1
19540372,1
50296144,1
28016480,1
32928930,1
31285230,1
31779659,1
20645283,1
10032043,1
14632949,1
20083392,1
50582749,1
11615457,1
4022258,1
33405541,1
51633723,1
51081504,1
5352114,1
36337367,1
31903010,1
29129317,1
43839050,1
27204977,1
36521507,1
40200197,1
9211353,1
41589732,1
11964227,1
42956592,1
22519145,1
36201418,1
14851604,1
43967957,1
16885399,3
13800516,1
45207142,1
14684315,1
40832785,1
20616552,2
11821674,1
12550672,1
16034608,1
17044534,1
11464561,1
21143647,1
26923982,1
5817087,1
52456816,1
21799522,1
21140770,1
24691258,2
25049143,1
37683561,1
48780687,1
22157097,1
8469792,1
11810612,1
28180440,1
16151431,1
47345671,1
52429157,1
16053828,2
52182973,2
12893825,1
52763081,1
29919201,1
17504106,1
17392125,1
42216224,1
47896189,1
19214453,1
24882413,1
35635554,1
18167714,2
21152944,1
24412133,1
40885597,1
36128774,1
40965457,1
40710890,1
10748815,1
21885933,1
53030523,1
10748455,1
33136647,1
50968195,1
52130093,1
37404979,1
34216481,1
32982782,1
51753279,1
24164247,1
11639065,1
36287786,1
12361705,1
46891757,1
50269072,1
16174538,1
34074142,1
16356076,1
44721433,1
10168189,1
15997040,1
42194420,2
17364208,1
11196376,1
38438062,1
20249496,1
49048665,1
46237470,1
22448071,1
14637222,1
18377209,1
12359035,1
15371715,1
38003036,1
23264197,1
49729695,1
14202452,1
12935416,1
14164501,1
19911306,1
35186979,1
45784322,1
36137831,1
23547479,1
34456594,1
30615701,1
13726238,2
30308308,2
32772142,1
33719313,1
23084132,1
12001411,2
52773179,1
45285587,1
50621113,1
13303127,1
52978904,1
31544492,1
51220404,1
35936846,1
24628706,1
49949107,1
52828483,1
48429739,1
27749560,1
32595167,1
19806617,1
32166090,1
26985471,1
21737233,1
15804596,1
29741671,1
45680230,1
32776809,1
49008131,1
53036464,1
53017692,1
12270033,1
43318000,1
37115737,1
48356484,1
48654759,1
13741188,1
52523082,1
33415395,2
43825545,1
22667371,1
48496196,1
44964920,1
36229253,1
38947954,1
24879992,1
51714982,1
42165226,1
3026769,1
41328463,1
34293926,1
21400520,1
39691966,1
5489298,1
